min_silence_len_range,silence_thresh_range,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
114,-39,0,0,0,0,0,0,1,11,66,183,33,3,3,0,0,0,0,0,0,0
114,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
114,-37,0,0,0,0,0,0,0,3,12,263,18,4,0,0,0,0,0,0,0,0
114,-36,0,0,0,0,0,0,0,4,5,281,10,0,0,0,0,0,0,0,0,0
114,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
114,-34,0,0,0,0,0,0,0,6,21,269,4,0,0,0,0,0,0,0,0,0
114,-33,0,0,0,0,0,0,0,7,34,245,14,0,0,0,0,0,0,0,0,0
114,-32,0,0,0,0,0,0,2,23,65,200,10,0,0,0,0,0,0,0,0,0
114,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
114,-30,0,0,0,0,0,3,13,37,92,152,3,0,0,0,0,0,0,0,0,0
115,-40,0,0,0,0,0,3,12,40,120,101,21,3,0,0,0,0,0,0,0,0
115,-39,0,0,0,0,0,0,3,11,67,181,32,3,3,0,0,0,0,0,0,0
115,-38,0,0,0,0,0,0,0,0,30,231,32,4,3,0,0,0,0,0,0,0
115,-37,0,0,0,0,0,0,0,3,12,263,18,4,0,0,0,0,0,0,0,0
115,-36,0,0,0,0,0,0,0,4,6,280,10,0,0,0,0,0,0,0,0,0
115,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
115,-34,0,0,0,0,0,0,0,6,21,269,4,0,0,0,0,0,0,0,0,0
115,-33,0,0,0,0,0,0,0,7,35,245,13,0,0,0,0,0,0,0,0,0
115,-32,0,0,0,0,0,0,2,23,72,193,10,0,0,0,0,0,0,0,0,0
115,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
115,-30,0,0,0,0,0,3,13,38,95,148,3,0,0,0,0,0,0,0,0,0
