chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.24601325,0.030556275,694.8565929423669,758.6765587365041,1372.1848060344828,0.03332098599137931,-446.8139,176.00616,-13.246761,24.710917,45.63866,-16.094206,-17.86743,-5.14406,-10.228455,12.106602,13.037614,-12.784882,-8.094942,3.337063,-3.2989762,-5.7693553,-2.8975265,-0.10600223,0.6780539,-2.8224819,0
0.2867686,0.17076278,689.2263564677796,708.908313730302,1292.3286437988281,0.036041259765625,-294.34753,177.87962,-17.747728,9.947797,27.396328,-20.353348,-15.333703,-13.523983,-18.198402,11.450584,7.0510435,-17.828972,-6.0105057,-0.19557948,-8.069342,-3.651049,-6.466893,-7.5181665,1.9533473,-2.0922496,0
0.3315979,0.07794368,727.7675069399435,787.7085183443226,1526.8386840820312,0.0306243896484375,-333.40964,208.9403,-25.799711,24.265766,46.46414,-12.203803,-0.414591,-7.28029,-27.697584,1.7843859,-1.8570718,-16.176748,8.751787,3.9483678,-11.669975,1.9873519,-1.7877839,-8.644165,1.4032576,-4.1464896,0
0.34904188,0.23785219,584.4013723333017,703.2149180189303,1172.5243201622595,0.026066706730769232,-277.1456,148.23534,13.615972,27.795708,32.291306,-8.803768,-6.0273213,1.4483299,-8.430679,-4.334717,-5.67968,-11.100707,-6.79818,-7.405469,-3.394751,2.2123868,-7.0104723,-6.4544773,2.5750117,-3.6724145,0
0.3007427,0.26087776,718.3486576388045,725.6523159528484,1365.9034522804054,0.029864336993243243,-241.78766,183.90125,-16.802265,14.443793,43.635685,-9.992745,-18.574438,-10.984405,-15.542019,-2.500363,-0.9536499,-6.2172165,-0.6623278,-6.511564,-8.312024,-0.91155034,-7.972237,-9.272763,-0.7738663,-5.096082,0
0.29619777,0.042039413,737.6824043808641,807.414112558509,1609.8063151041667,0.034107349537037035,-425.61606,179.93391,-9.078686,22.859196,32.628113,-24.863792,-8.2664385,2.6372676,-24.533968,-8.416492,4.607879,-12.249169,-6.6039166,0.15614897,-6.736118,-0.346887,2.7093644,-0.3073885,6.5620213,5.3040524,0
0.33301413,0.04917325,802.5025505294828,838.4211789738316,1764.3768310546875,0.034891764322916664,-396.34402,174.07307,-12.513265,21.027124,29.18657,-27.722845,-5.0706477,5.4563394,-29.964783,-11.63541,10.359921,-9.446079,-8.53723,2.6736374,-4.753802,-4.7122006,-0.98183364,-0.41900322,6.0400424,2.9917681,0
0.28439936,0.04573373,719.0419476556398,758.414608112423,1572.821044921875,0.0364990234375,-425.63474,182.04633,-14.900859,27.859274,37.278618,-30.119339,-11.580452,4.5613446,-21.966415,-6.527145,1.9958478,-16.751139,-6.3241067,0.73303443,-8.9546,-1.2790371,0.6079193,-3.7293785,7.7567596,6.9654846,0
0.2965912,0.04517525,744.3335644127292,796.8300224077204,1646.4287109375,0.03462890625,-416.85913,183.65918,-13.012135,24.319069,35.077988,-27.219734,-9.651881,2.5325303,-26.487083,-9.1259365,5.5925426,-12.486809,-7.3211794,-0.3189189,-7.633894,-0.9404784,2.2812827,-1.2118834,6.023378,5.2067065,0
0.18252818,0.030721875,967.1389482922656,735.15863073957,1808.7890625,0.041779891304347824,-461.31622,175.05124,-40.783215,17.871075,31.106737,-42.04589,-18.184404,4.4536376,-13.005255,7.382333,9.584348,-13.327082,-5.747774,2.2984774,-0.030939266,-0.047096834,-7.9778733,-5.207941,1.9369211,-7.4276423,0
